t kinetic_energy max_velocity
0.0187 0.236099 0.966947
0.0188 0.236028 0.966838
0.0189 0.235957 0.966729
0.019 0.235887 0.96662
0.0191 0.235816 0.966511
0.0192 0.235745 0.966402
0.0193 0.235675 0.966294
0.0194 0.235604 0.966185
0.0195 0.235534 0.966076
0.0196 0.235463 0.965967
0.0197 0.235393 0.965858
0.0198 0.235322 0.965749
0.0199 0.235252 0.965641
0.02 0.235182 0.965532
0.0201 0.235112 0.965423
0.0202 0.235041 0.965314
0.0203 0.234971 0.965206
0.0204 0.234901 0.965097
0.0205 0.234831 0.964988
0.0206 0.234761 0.96488
0.0207 0.234691 0.964771
0.0208 0.234621 0.964662
0.0209 0.234551 0.964554
0.021 0.234481 0.964445
0.0211 0.234411 0.964337
0.0212 0.234341 0.964228
0.0213 0.234271 0.96412
0.0214 0.234201 0.964011
0.0215 0.234131 0.963903
0.0216 0.234061 0.963794
0.0217 0.233992 0.963686
0.0218 0.233922 0.963577
0.0219 0.233852 0.963469
0.022 0.233783 0.963361
0.0221 0.233713 0.963252
0.0222 0.233644 0.963144
0.0223 0.233574 0.963036
0.0224 0.233505 0.962927
0.0225 0.233435 0.962819
0.0226 0.233366 0.962711
0.0227 0.233296 0.962603
0.0228 0.233227 0.962494
0.0229 0.233158 0.962386
0.023 0.233088 0.962278
0.0231 0.233019 0.96217
0.0232 0.23295 0.962062
0.0233 0.232881 0.961954
0.0234 0.232812 0.961845
0.0235 0.232743 0.961737
0.0236 0.232673 0.961629
0.0237 0.232604 0.961521
0.0238 0.232535 0.961413
0.0239 0.232466 0.961305
0.024 0.232398 0.961197
0.0241 0.232329 0.961089
0.0242 0.23226 0.960981
0.0243 0.232191 0.960873
0.0244 0.232122 0.960766
0.0245 0.232053 0.960658
0.0246 0.231985 0.96055
0.0247 0.231916 0.960442
0.0248 0.231847 0.960334
0.0249 0.231779 0.960226
0.025 0.23171 0.960118
0.0251 0.231641 0.960011
0.0252 0.231573 0.959903
0.0253 0.231504 0.959795
0.0254 0.231436 0.959688
0.0255 0.231367 0.95958
0.0256 0.231299 0.959472
0.0257 0.231231 0.959364
0.0258 0.231162 0.959257
0.0259 0.231094 0.959149
0.026 0.231026 0.959042
0.0261 0.230957 0.958934
0.0262 0.230889 0.958826
0.0263 0.230821 0.958719
0.0264 0.230753 0.958611
0.0265 0.230685 0.958504
0.0266 0.230617 0.958396
0.0267 0.230549 0.958289
0.0268 0.230481 0.958182
0.0269 0.230413 0.958074
0.027 0.230345 0.957967
0.0271 0.230277 0.957859
0.0272 0.230209 0.957752
0.0273 0.230141 0.957645
0.0274 0.230073 0.957537
0.0275 0.230006 0.95743
0.0276 0.229938 0.957323
0.0277 0.22987 0.957215
0.0278 0.229802 0.957108
0.0279 0.229735 0.957001
0.028 0.229667 0.956894
0.0281 0.229599 0.956786
0.0282 0.229532 0.956679
0.0283 0.229464 0.956572
0.0284 0.229397 0.956465
0.0285 0.229329 0.956358
0.0286 0.229262 0.956251
0.0287 0.229195 0.956144
0.0288 0.229127 0.956037
0.0289 0.22906 0.95593
0.029 0.228993 0.955823
0.0291 0.228925 0.955715
0.0292 0.228858 0.955609
0.0293 0.228791 0.955502
0.0294 0.228724 0.955395
0.0295 0.228657 0.955288
0.0296 0.228589 0.955181
0.0297 0.228522 0.955074
0.0298 0.228455 0.954967
0.0299 0.228388 0.95486
0.03 0.228321 0.954753
0.0301 0.228254 0.954646
0.0302 0.228187 0.95454
