t kinetic_energy max_velocity div_max
0.2 1.00446 1.3476 0
0.201 0.99879 1.3451 0
0.202 0.992327 1.34154 0
0.203 0.994097 1.34143 0
0.204 0.989677 1.33891 0
0.205 0.976677 1.33153 0
0.206 0.988969 1.33656 0
0.207 1.00048 1.3427 0
0.208 0.997346 1.34141 0
0.209 0.999772 1.34272 0
0.21 0.993687 1.33915 0
0.211 0.990728 1.33722 0
0.212 0.992588 1.33754 0
0.213 1.00233 1.34203 0
0.214 0.9851 1.33329 0
0.215 1.00226 1.34146 0
0.216 1.00012 1.34096 0
0.217 1.00251 1.34163 0
0.218 1.00367 1.34212 0
0.219 1.0008 1.34056 0
0.22 0.995497 1.33727 0
0.221 0.988169 1.33307 0
0.222 0.992223 1.3341 0
0.223 0.988118 1.33211 0
0.224 0.995133 1.3348 0
0.225 1.0014 1.33797 0
0.226 0.993062 1.33434 0
0.227 1.00164 1.33789 0
0.228 0.992102 1.33282 0
0.229 0.990553 1.33148 0
0.23 0.990267 1.33135 0
0.231 0.99949 1.33468 0
0.232 0.987564 1.32913 0
0.233 1.00279 1.33596 0
0.234 0.996584 1.33347 0
0.235 0.998558 1.3341 0
0.236 1.0105 1.33937 0
0.237 0.985812 1.32722 0
0.238 1.00481 1.33588 0
0.239 0.996364 1.33164 0
0.24 0.988227 1.32719 0
0.241 0.992014 1.32817 0
0.242 0.990804 1.32734 0
0.243 0.993882 1.32817 0
0.244 0.990189 1.32606 0
0.245 0.982321 1.32155 0
0.246 0.996296 1.32743 0
0.247 0.990693 1.32484 0
0.248 0.980489 1.31923 0
0.249 0.981212 1.31907 0
0.25 0.984955 1.32027 0
0.251 0.989978 1.32281 0
0.252 0.988557 1.32183 0
0.253 0.975442 1.31553 0
0.254 0.98758 1.32023 0
0.255 1.0013 1.32743 0
0.256 0.99305 1.32338 0
0.257 0.984717 1.31883 0
0.258 0.990529 1.32109 0
0.259 0.994204 1.32269 0
0.26 0.993516 1.32197 0
0.261 0.99515 1.32292 0
0.262 0.982205 1.31623 0
0.263 0.991101 1.3195 0
0.264 0.993981 1.32077 0
0.265 0.991803 1.31964 0
0.266 0.985607 1.31602 0
0.267 0.990806 1.31826 0
0.268 0.987711 1.31667 0
0.269 0.981442 1.31307 0
0.27 0.993823 1.31871 0
0.271 0.984444 1.31403 0
0.272 0.994692 1.31852 0
0.273 0.996811 1.31987 0
0.274 0.992476 1.31795 0
0.275 0.990986 1.31689 0
0.276 0.993406 1.31802 0
0.277 0.984261 1.31353 0
0.278 0.989776 1.31588 0
0.279 0.991539 1.31674 0
0.28 0.981879 1.31162 0
0.281 0.986621 1.31388 0
0.282 0.990614 1.31539 0
0.283 0.991168 1.31603 0
0.284 0.988886 1.31454 0
0.285 0.99534 1.3182 0
0.286 0.988008 1.31398 0
0.287 0.992399 1.31626 0
0.288 0.983224 1.31181 0
0.289 0.993639 1.31685 0
0.29 0.988661 1.31406 0
0.291 0.978149 1.30888 0
0.292 0.979815 1.30875 0
0.293 0.990038 1.31384 0
0.294 0.980992 1.3093 0
0.295 0.977142 1.30673 0
0.296 0.988297 1.31207 0
0.297 0.980383 1.30805 0
0.298 0.981626 1.30821 0
0.299 0.97639 1.30545 0
0.3 0.989029 1.31192 0
0.301 0.990698 1.31264 0
0.302 0.988643 1.31164 0
0.303 0.992534 1.31364 0
0.304 0.988274 1.31153 0
0.305 0.975619 1.30479 0
0.306 0.983354 1.30817 0
0.307 0.984955 1.30847 0
0.308 0.987517 1.30971 0
0.309 0.983375 1.30797 0
0.31 0.986112 1.30902 0
0.311 0.987561 1.30964 0
0.312 0.972754 1.30215 0
0.313 0.971164 1.30058 0
0.314 0.977151 1.30321 0
0.315 0.990525 1.31013 0
0.316 0.975434 1.30268 0
0.317 0.975904 1.30268 0
0.318 0.978047 1.30314 0
