0.005 0.005 6.3297 0.973425 -0.0128279 -5.28517
0.015 0.005 6.36194 0.98423 -0.0146907 -1.53017
0.025 0.005 6.36396 0.987557 -0.0183143 -0.622959
0.035 0.005 6.3496 0.989171 -0.021003 -0.417831
0.045 0.005 6.32668 0.990754 -0.0228213 -0.390883
0.055 0.005 6.29666 0.992341 -0.0245721 -0.429445
0.065 0.005 6.25992 0.993787 -0.0267081 -0.465622
0.075 0.005 6.21702 0.995022 -0.0292334 -0.47042
0.085 0.005 6.16873 0.996047 -0.0320002 -0.446938
0.095 0.005 6.11595 0.996893 -0.0348595 -0.405183
0.105 0.005 6.05955 0.997598 -0.037654 -0.352381
0.115 0.005 6.00032 0.9982 -0.0402496 -0.297697
0.125 0.005 5.93899 0.998729 -0.042611 -0.253816
0.135 0.005 5.87614 0.9992 -0.0448284 -0.231744
0.145 0.005 5.81229 0.999616 -0.0470695 -0.235372
0.155 0.005 5.74785 0.99997 -0.0495005 -0.260537
0.165 0.005 5.68317 1.00026 -0.052226 -0.298091
0.175 0.005 5.61852 1.00047 -0.0552694 -0.338126
0.185 0.005 5.55411 1.00063 -0.0585879 -0.373094
0.195 0.005 5.49011 1.00073 -0.0621028 -0.39903
0.205 0.005 5.42666 1.00079 -0.065729 -0.415206
0.215 0.005 5.36386 1.00082 -0.0693946 -0.422984
0.225 0.005 5.30177 1.00083 -0.0730483 -0.42457
0.235 0.005 5.24047 1.00083 -0.0766584 -0.4221
0.245 0.005 5.17999 1.00081 -0.0802067 -0.41719
0.255 0.005 5.12036 1.00078 -0.0836823 -0.410861
0.265 0.005 5.06161 1.00075 -0.0870766 -0.403672
0.275 0.005 5.00376 1.00071 -0.0903814 -0.395917
0.285 0.005 4.9468 1.00066 -0.0935875 -0.38776
0.295 0.005 4.89074 1.00062 -0.0966853 -0.379316
0.305 0.005 4.83558 1.00057 -0.0996645 -0.370662
0.315 0.005 4.78132 1.00052 -0.102515 -0.361829
0.325 0.005 4.72795 1.00046 -0.105226 -0.352803
0.335 0.005 4.67545 1.00041 -0.107785 -0.34353
0.345 0.005 4.62383 1.00037 -0.110182 -0.333949
